tconst averageRating numVotes
1000424809 1513502347 970554427
1000426907 1266359958 804264386
1000427548 220645176 2009547602
1000427881 1397781986 1111555662
1000431650 1619063395 1739056251
1000432866 719225004 534699180
1000440305 719225004 2006574170
1000441217 492306891 879612536
1000443546 1836883491 2009547602
1000444537 1807934382 1180158927
1000445768 1807934382 755803624
1000447288 748886265 2074509339
1000449550 1566751959 1910684006
1000452469 1380935213 1833922075
1000453727 1999382690 577623442
1000454337 599222534 2006574170
1000454442 55574156 1738205456
10004587 296106993 2103533408
100046087 220645176 818642924
1000462277 886594069 645330180
1000468663 492306891 1739056251
1000470032 748886265 648711808
1000470764 1101107360 88220196
1000473363 1606851054 2009547602
1000474953 1566751959 534699180
1000475608 1836883491 1102997468
1000477165 1266359958 1427821762
1000478998 1510676963 1771802022
1000479936 1513502347 2091786089
1000480204 51475912 1426033548
1000482663 492306891 507536789
100048285 1836883491 1402198397
1000483207 1380935213 2009547602
1000485101 1807934382 1580242595
1000486009 222128607 750775706
100048616 1606851054 2006574170
1000489239 1566751959 1111555662
1000490238 55896884 808142553
1000492196 61197209 2103533408
1000493211 1242264039 1427821762
100049358 1121467465 581508077
1000495601 1689813014 1930988336
1000500045 1242264039 1740142878
1000500259 51475912 504345020
1000503937 1566751959 376417882
1000508800 1416479967 2009547602
1000511022 1566751959 2009547602
1000512188 492306891 146417319
1000512233 1606851054 893440497
1000513828 1834528096 730294304
1000517892 1039865072 1479557939
1000518716 61197209 1967417949
1000520053 1943046654 912596354
1000526537 55896884 1739056251
1000530120 1834528096 483404425
1000530693 1231609043 520443217
100053104 1834528096 736639923
1000532853 1943046654 217030311
1000533317 1482134336 1771802022
1000534295 508765189 1427821762
1000534476 1416479967 648711808
1000535898 1266359958 1479557939
1000537712 222128607 1111555662
1000537900 1836883491 988390156
1000538953 1943046654 1142251752
1000550676 1689813014 750775706
1000551337 61197209 88220196
1000551689 1121467465 927441416
100055687 55896884 1437125105
1000557933 565257480 2015259944
1000558248 1689813014 487995787
1000560462 61197209 810788611
1000561127 1231609043 730294304
1000562077 1266359958 970064216
1000563004 1329013187 390753366
1000563004 1948897126 1326975590
1000563422 762332187 1930345500
1000566131 1510676963 471690383
100056636 1121467465 88220196
1000570768 1101107360 2015259944
1000571831 489106386 1740142878
1000572158 1329013187 339076775
1000572609 1834528096 506985877
1000575202 1513502347 1161021818
1000577715 1390020420 1916868464
1000578577 1329013187 665834173
1000579200 748886265 221827988
1000579947 719225004 2006574170
1000580385 220645176 1479557939
1000580407 489106386 1646728092
1000580802 1807934382 1586001083
1000583105 220645176 483246962
1000586839 748886265 684710514
1000586978 1943046654 1771802022
1000589397 492306891 1593375463
1000589861 1482134336 2009547602
1000590666 1841259509 964805825
1000592017 1948897126 2009547602
1000593684 1099499392 808142553
1000595279 1101107360 2006574170
1000596203 648300748 750775706
1000597791 1101107360 1004425719
1000598487 599222534 2009547602
1000599881 1836883491 2074509339
1000600368 276412279 1828434835
1000605031 1473404887 1055103569
1000605115 1513502347 1734402268
100060722 719225004 534699180
1000608383 1807934382 602185469
1000609220 489106386 2009547602
1000614643 1416479967 1437125105
1000615408 1380935213 1443425320
1000617601 1121467465 853757737
1000619789 1807934382 1426033548
1000623002 1329013187 739502388
1000625417 1329013187 648711808
1000625432 492306891 2009547602
1000626649 1834528096 1426033548
1000628623 1075433776 259200059
1000629995 220645176 970554427
1000631878 953837881 1739056251
1000635162 1943046654 2009547602
1000635207 1416479967 1427821762
1000637554 565257480 1055314461
1000637582 1099499392 1111555662
1000639411 1575002568 1426033548
1000640760 1231609043 375418299
1000641371 1121467465 7601776
100064292 1242264039 648711808
1000643110 1121467465 2006574170
1000643680 1121467465 970554427
1000643841 1380935213 1999075337
1000644553 1807934382 1111555662
100064483 1717409078 1739056251
10006466 222128607 1111555662
1000646718 1231609043 1734126288
1000647936 1099499392 1372851660
1000650866 1807934382 1482720587
1000659797 296106993 677004469
1000660482 1942876833 1427821762
1000663732 51475912 1739056251
10006668 1836883491 1083801595
1000667802 61197209 1967417949
1000669521 1513502347 1482720587
1000669575 61197209 582793678
1000671383 220645176 781937596
100067241 1689813014 1750837715
1000674662 1689813014 7601776
1000676199 1724116551 853757737
1000676902 1836883491 1738205456
1000679328 1999382690 1910684006
1000683107 508765189 96354842
1000687561 1606851054 1739056251
1000689276 1390020420 1593375463
1000692116 1836883491 1916868464
1000692274 55574156 1431250141
1000692512 719225004 1982941495
1000694785 55896884 507536789
1000695471 1606851054 2082703880
1000696293 748886265 1479557939
1000697910 663830303 648711808
1000697921 1101107360 970064216
1000698194 220645176 1028211143
1000698255 1380935213 4241662
1000698845 1266359958 1427821762
1000699387 1231609043 1739056251
1000700870 1513502347 301419861
1000701170 1390020420 1593375463
100070146 1266359958 88220196
1000701626 1121467465 1101728027
1000702464 1390020420 1437125105
100070267 953837881 365684492
1000705218 508765189 88220196
1000705612 1724116551 1111555662
1000705618 1943046654 1111555662
1000705940 565257480 1110526160
100070711 1943046654 858342697
1000707172 296106993 1387846562
1000707346 51475912 2103533408
1000708587 1329013187 1739056251
1000709164 1329013187 730294304
1000709751 1416479967 749873641
1000710102 1834528096 2006574170
1000713245 1101107360 1739056251
1000716625 61197209 471690383
1000717088 489106386 1750837715
