tconst parentTconst seasonNumber episodeNumber
1000061329 720969245 1935597282 1470507561
1000061722 2014509929 2093227591 2093227591
1000061801 429853760 344075432 1884490263
1000061824 498935227 1935597282 644545014
1000062205 1173591406 1296460517 560826481
1000062698 1179834669 1935597282 806873716
1000063038 1365578157 1906157682 1367180859
1000063275 1430705839 1935597282 719457268
100006344 1055710179 1935597282 644545014
1000063531 37482133 1935597282 1566634689
1000064232 518069468 277511426 1945353820
1000064594 131362989 644545014 151672684
100006495 1119875155 510687177 1854910413
100006500 123335507 2093227591 2093227591
1000065127 1843676383 2093227591 2093227591
1000065443 507282372 1935597282 982027402
1000065720 2015968228 1935597282 960075877
1000065888 1197284752 2093227591 2093227591
1000066001 452678041 1935597282 1742369561
1000066126 1026770727 1296460517 651461093
1000066280 844588985 1952829654 682193001
100006633 1260346579 1935597282 344075432
1000066440 1985709392 1935597282 1657266179
1000066506 1058356854 1935597282 2109872842
1000068314 1766502762 2093227591 2093227591
1000068388 1395500731 1935597282 1911956850
1000068605 1940884630 1076155389 644545014
100006888 1199767414 1935597282 1945353820
1000068933 87875182 1906157682 1076155389
1000069783 415435506 2093227591 2093227591
1000070488 2143451708 344075432 1948328691
1000070512 739636426 1935597282 2075431989
100007082 1225242998 2093227591 2093227591
1000071343 379710090 1935597282 1842067588
100007157 2135535499 1935597282 984081352
1000071851 1056269570 2093227591 2093227591
1000072310 854298745 1935597282 510687177
1000072757 2052975976 2093227591 2093227591
1000073205 1766056987 1935597282 355825965
1000073211 623956479 1935597282 1125156736
1000073231 674784004 1937527650 510687177
1000073333 2008933381 2093227591 2093227591
1000073510 967205273 2093227591 2093227591
1000073709 627992640 914181773 633365235
1000074708 250517749 1296460517 1076155389
1000074836 122895025 2093227591 2093227591
1000074839 634781744 1935597282 484454469
1000074874 493567987 1935597282 673423518
1000075012 942625375 644545014 513439921
1000075606 1472728591 1935597282 976921866
1000075878 215711370 1935597282 709462510
1000076476 706957695 1935597282 394219978
1000076562 327818484 1935597282 1792981174
1000076852 715438524 1906157682 276107499
1000076936 949876596 914181773 1945353820
1000077013 1768978169 1935597282 1884490263
1000077139 1889141436 1935597282 1935597282
1000077146 1993437799 2093227591 2093227591
1000077 1616447930 1935597282 644545014
1000077498 1289119873 1935597282 1999395686
10000775 67772295 2093227591 2093227591
1000077619 776427982 1935597282 2034950074
1000077718 1056269570 2093227591 2093227591
1000078019 1076035301 1906157682 1945353820
1000078028 480587361 1935597282 2080623877
1000078101 943375642 1935597282 1334682972
1000079031 992592083 510687177 1636399387
100007957 1838308804 1935597282 651461093
1000079594 126608322 2093227591 2093227591
1000079654 83776458 1935597282 651461093
1000079771 560112918 277511426 551850890
1000079875 1434526884 1296460517 1367180859
1000080315 893430714 1906157682 1945353820
1000080469 165504654 2093227591 2093227591
1000080485 1881148038 1935597282 1906157682
1000080634 671488911 2093227591 2093227591
100008098 1822483199 1935597282 289890871
1000081043 2012427262 639098870 1884490263
1000081155 1662491542 1935597282 215578819
1000081388 353170522 1935597282 2072585997
1000081892 35600155 1935597282 1999434077
1000082308 1719896771 2093227591 2093227591
100008302 2105711511 1935597282 678304352
1000083613 1412659709 2093227591 2093227591
1000084083 1168167215 1935597282 1296460517
1000084608 1308176636 1296460517 1745105171
1000084707 1851498912 1935597282 1413542980
10000848 2036058023 1935597282 1574495735
1000084820 678260509 2093227591 2093227591
100008550 1430157305 1296460517 371193521
1000085501 997513593 1906157682 1367180859
1000085521 1116437410 1935597282 151672684
1000085617 176271840 1296460517 1945353820
1000085618 130258603 1935597282 650641889
1000085673 1739795087 1935597282 115292587
1000087401 1058546095 2093227591 2093227591
1000088046 884636986 1945353820 1935597282
1000088144 714972392 1367180859 151672684
