nconst primaryName birthYear deathYear primaryProfession knownForTitles
1000020622 685063341 2126297961 2126297961 556859920 999721406
1000020783 113724576 2126297961 2126297961 111625828 2126297961
1000020793 1635518266 2126297961 2126297961 111625828 2126297961
1000021023 541185154 2126297961 2126297961 1980261319 2126297961
1000021203 2091131229 2126297961 2126297961 641601868 2080892927
1000021333 2072395781 2126297961 793343292 1333353105 338920909
1000021461 310295796 2126297961 2126297961 90579072 1952093319
100002156 283403266 2126297961 2126297961 641601868 2126297961
1000021747 1356989141 2126297961 2126297961 431574259 278768826
1000021862 1787565316 793343292 2126297961 641601868 1579428087
1000021882 148183474 2126297961 2126297961 1181129578 580653201
1000022011 1588784304 2126297961 2126297961 641601868 1229849734
1000022425 222635196 2126297961 2126297961 2074521603 1419658339
1000022447 305074452 2126297961 2126297961 289259722 2126297961
1000022792 275100980 2126297961 2126297961 48867219 946639990
1000022957 1294134422 2126297961 2126297961 891097923 1982229268
1000023032 1905958035 2126297961 2126297961 2011772271 1598828688
1000023079 556902666 2126297961 2126297961 1190972371 1609334060
1000023317 1094135310 2126297961 2126297961 1897236228 2126297961
1000023616 1092673195 2126297961 2126297961 48867219 1808554183
1000023621 665877093 2126297961 2126297961 1134304899 2126297961
1000023709 1470899419 2126297961 2126297961 599491928 1360115553
1000023914 1781633214 2126297961 2126297961 1980261319 963513177
100002412 779996287 2126297961 2126297961 641601868 705830173
1000024485 314527716 2126297961 2126297961 562515633 1194766022
1000024507 1871501042 2126297961 2126297961 641601868 1510497506
1000024512 1214804672 2126297961 2126297961 1181129578 975497918
1000024542 872386133 2126297961 2126297961 48867219 2126297961
1000024621 1766717283 2126297961 2126297961 1556632936 2147250143
1000024644 1657447959 2126297961 2126297961 111625828 2126297961
1000024674 813737608 2126297961 2126297961 1622169622 1446407665
1000024913 2147132080 2126297961 2126297961 90579072 227221425
1000025169 1634200825 2126297961 2126297961 449632564 182894175
1000025221 47010217 193773994 348938411 534571240 153738608
1000025240 581438170 2126297961 2126297961 1897236228 412423206
1000025275 2144226068 2126297961 2126297961 1181129578 728484074
1000025317 1497227023 2126297961 2126297961 48867219 1302496202
1000025594 1436722845 271808802 1612111763 621484431 36406015
1000025720 789801231 2126297961 2126297961 1333747785 1776016728
1000025834 1561013161 2126297961 2126297961 48867219 518402126
1000026414 602740577 2126297961 2126297961 1946546233 2126297961
100002643 1864694333 2126297961 2126297961 1333747785 203079419
1000026787 99389969 2126297961 2126297961 728802760 2082382224
1000026841 527896911 2126297961 2126297961 48867219 929296418
1000026897 1658120926 2126297961 2126297961 1502025314 1131116926
1000026953 129642155 2126297961 2126297961 48867219 564406228
1000027262 1883323678 2126297961 2126297961 90579072 1481593966
1000027393 1987927456 2126297961 2126297961 562515633 998520445
1000027516 1844575545 2126297961 2126297961 962121930 160840463
1000027805 1463674594 2126297961 2126297961 759890543 138452382
1000027872 2077961788 2126297961 2126297961 1181129578 2032746520
1000027914 1146969053 2126297961 2126297961 36366385 626206325
1000027930 521696502 2126297961 2126297961 641601868 2126297961
1000027932 169248523 2126297961 2126297961 48867219 2065975075
1000027946 87531095 2126297961 2126297961 1134304899 70426096
1000027968 1055692107 2126297961 2126297961 641601868 997079253
1000028028 1710096653 2126297961 2126297961 48867219 441237736
1000028641 1245344611 2126297961 2126297961 48867219 2126297961
1000028733 1581049722 2126297961 2126297961 48867219 1411920479
1000028811 452831539 2126297961 2126297961 90579072 2126297961
1000029531 1060997169 2126297961 2126297961 641601868 2126297961
1000029585 405043899 2126297961 2126297961 48867219 1508904744
1000029596 1499881964 2126297961 2126297961 1190972371 2126297961
1000029623 1917966299 2126297961 2126297961 1893572599 1987994965
1000029658 377647388 1430201654 634780517 1980261319 770100171
1000029792 1660830210 2126297961 2126297961 641601868 530639298
1000030066 986936826 2126297961 2126297961 641601868 1095934197
1000030094 134845343 2126297961 2126297961 90579072 1473038882
1000030174 1405340896 2126297961 2126297961 1980261319 2082696576
1000030355 1301427961 2126297961 2126297961 36366385 1611287044
1000030558 56749595 2126297961 2126297961 621484431 251047477
1000030615 396508368 2126297961 2126297961 90579072 1354210571
1000030636 309600600 2126297961 2126297961 1190972371 46406082
1000030725 913242566 2126297961 2126297961 111625828 919707644
1000030758 1968798040 2126297961 2126297961 90579072 51234328
